ID,社名（日本語）,社名（英語）,都道府県,地域,カテゴリ,説明（日本語）,説明（英語）,公式URL,従業員数,資本金（万円）,公式サイト確認
tk007,墨田革漉き工房,Sumida Leather Atelier,東京,関東,革製品,墨田の革漉き職人,Sumida leather thinning specialist,https://www.sumidakawasuki.com/,,,
tk009,土屋鞄製造所,Tsuchiya Kaban,東京,関東,革製品,足立区の革鞄メーカー,Adachi-ku leather bag maker,https://tsuchiya-kaban.jp/,,,確認済み
tk010,濱野皮革工藝,Hamano Hikaku Kogei,東京,関東,革製品,皇室御用達の鞄工房,Imperial Household leather atelier,https://www.hamano.co.jp/,,,確認済み
tk011,銀座かなめ屋,Ginza Kanameya,東京,関東,伝統工芸,銀座の老舗和装小物,Ginza heritage kimono accessories,https://www.kanameya.co.jp/,,,
tk013,江戸からかみ 東京松屋,Tokyo Matsuya Karakami,東京,関東,和紙・紙製品,江戸からかみの老舗,Heritage Edo karakami paper,https://www.tokyomatsuya.co.jp/,,,確認済み
tk014,小津和紙,Ozu Washi,東京,関東,和紙・紙製品,日本橋の老舗和紙専門店,Nihonbashi heritage washi shop,https://www.ozuwashi.net/,,,確認済み
tk015,榛原 (はいばら),Haibara,東京,関東,和紙・紙製品,日本橋の和紙文具老舗,Nihonbashi heritage washi stationer,https://www.haibara.co.jp/,,,確認済み
tk016,鳩居堂 東京,Kyukyodo Tokyo,東京,関東,和紙・紙製品,銀座の老舗香・文具,Ginza heritage incense & stationery,https://www.kyukyodo.co.jp/,,,確認済み
tk017,伊場仙,Ibasen,東京,関東,伝統工芸,江戸扇子の老舗,Edo folding fan heritage shop,https://www.ibasen.co.jp/,,,確認済み
tk018,白竹堂東京,Hakuchikudo Tokyo,東京,関東,伝統工芸,扇子の老舗,Heritage folding fan maker,https://www.hakuchikudo.co.jp/,,,確認済み
tk020,東京銀器 上川宗達,Kamikawa Ginki,東京,関東,伝統工芸,東京銀器の伝統工芸士,Tokyo silverware master craftsman,https://www.soutatsukamikawa.com/,,,
tk021,森銀器製作所,Mori Ginki,東京,関東,伝統工芸,東京銀器の老舗,Heritage Tokyo silverware,https://www.mori-silver.co.jp/,,,確認済み
tk022,江戸べっ甲 磯貝,Isogai Bekko,東京,関東,伝統工芸,江戸鼈甲の老舗工房,Heritage Edo tortoiseshell craft,https://isogai-bekko.jp/,,,
tk024,村田眼鏡舗,Murata Megane,東京,関東,その他工業製品,日本橋の眼鏡老舗,Nihonbashi heritage eyewear,https://www.murata-megane.co.jp/,,,確認済み
tk025,金子眼鏡 東京,Kaneko Megane Tokyo,東京,関東,その他工業製品,東京の老舗眼鏡店,Tokyo heritage eyewear,https://www.kaneko-optical.co.jp/,,,確認済み
tk026,日本橋木屋,Nihonbashi Kiya,東京,関東,刃物・金物,江戸の包丁・刃物老舗,Heritage Edo cutlery house,https://www.kiya-hamono.co.jp/,,,確認済み
tk027,うぶけや,Ubukeya,東京,関東,刃物・金物,江戸の刃物老舗,Heritage Edo blade shop,https://ubukeya.com/,,,確認済み
tk028,刃物の菊秀,Kikuhide Cutlery,東京,関東,刃物・金物,東京の包丁・鋏,Tokyo knives & scissors,https://www.kikuhide.jp/,,,確認済み
tk029,釜浅商店,Kamaasa Shoten,東京,関東,刃物・金物,合羽橋の調理道具老舗,Kappabashi cookware heritage,https://kama-asa.co.jp/,,,確認済み
tk030,飯田屋,Iidaya Kappabashi,東京,関東,刃物・金物,合羽橋の料理道具専門,Kappabashi kitchen tool specialist,https://www.kappabashi.or.jp/,,,確認済み
tk028b,東京染ものがたり博物館 富田染工芸,Tomita Senkogei,東京,関東,アパレル・繊維,東京染め小紋の老舗,Heritage Tokyo komon dye atelier,https://www.tomita-senkougei.com/,,,確認済み
tk032,江戸更紗 二葉苑,Futabaen Sarasa,東京,関東,アパレル・繊維,江戸更紗の染物,Edo sarasa dye works,https://www.ochiai-san.com/,,,
tk033,大野屋總本店 東京足袋,Onoya Tabi,東京,関東,アパレル・繊維,江戸足袋の老舗,Heritage Edo tabi maker,https://www.onoya.com/,,,確認済み
tk034,舟和本店,Funawa,東京,関東,食品・調味料,浅草の芋ようかん老舗,Asakusa heritage imo-yokan,https://funawa.jp/,,,確認済み
tk035,亀十,Kamejyu,東京,関東,食品・調味料,浅草どら焼きの名店,Asakusa famous dorayaki shop,https://www.kameju.com/,,,確認済み
tk036,とらや (羊羹),Toraya,東京,関東,食品・調味料,室町時代の和菓子老舗,Muromachi-era wagashi heritage,https://www.toraya-group.co.jp/,,,確認済み
tk037,喜八堂,Kihachido Senbei,東京,関東,食品・調味料,江戸前せんべい,Edo-style senbei rice cracker,https://www.senbei.co.jp/,,,
tk038,日本橋 千疋屋総本店,Sembikiya Honten,東京,関東,食品・調味料,日本橋の高級果物老舗,Nihonbashi heritage fine fruits,https://sembikiya.co.jp/,,,確認済み
tk039,榮太樓總本鋪,Eitaro Sohonpo,東京,関東,食品・調味料,日本橋の和菓子老舗,Nihonbashi heritage wagashi,https://www.eitaro.com/,,,確認済み
tk040,言問団子,Kototoi Dango,東京,関東,食品・調味料,向島の老舗団子,Mukojima heritage dango,https://kototoidango.co.jp/,,,
tk041,丸久小山園,Koyamaen Tokyo,京都,関西,お茶,老舗茶舗 (東京店),Heritage tea shop Tokyo branch,,,,
tk042,森半,Morihan Tokyo,京都,関西,お茶,老舗茶・抹茶卸,Heritage matcha wholesaler,,,,
tk043,山本山 (日本橋),Yamamotoyama,東京,関東,お茶,日本橋の老舗茶舗,Heritage Nihonbashi tea house,https://www.yamamotoyama.co.jp/,,,確認済み
tk054,アユーラ・ラボラトリーズ,Ayura Laboratories,東京,関東,化粧品,ホリスティック化粧品,Holistic cosmetics brand,https://www.ayura.co.jp/,,,確認済み
tk065,つきじ 山長,Tsukiji Yamacho,東京,関東,食品・調味料,築地の玉子焼老舗,Tsukiji tamagoyaki heritage,,,,確認済み
tk066,築地紀文,Tsukiji Kibun,東京,関東,食品・調味料,築地の練り物老舗,Tsukiji heritage fish paste,https://www.kibun.co.jp/,,,
tk067,江戸べんとう仕出し,Edo Bento Shidashi,東京,関東,食品・調味料,江戸前仕出し弁当,Edo-style catering bento,https://edomatoi.jp/,,,
tk068,福徳長酒類株式会社,Fukutokucho Liquor,千葉,関東,酒造,東京のリキュール製造,Tokyo liqueur producer,,,,
tk069,小澤酒造 (澤乃井),Ozawa Brewery (Sawanoi),東京,関東,酒造,青梅の老舗酒蔵,Ome heritage sake brewer,https://www.sawanoi-sake.com/,,,確認済み
tk070,石川酒造,Ishikawa Brewery,東京,関東,酒造,福生の地ビール・地酒,Fussa craft beer & sake,https://www.tamajiman.co.jp/,,,確認済み
tk071,野崎酒造,Nozaki Brewery,東京,関東,酒造,あきる野の老舗酒蔵,Akiruno heritage sake,http://www.kisho-sake.jp/,,,確認済み
tk072,田村酒造場,Tamura Sake Brewery,東京,関東,酒造,福生の老舗酒蔵,Fussa heritage sake brewer,https://www.seishu-kasen.com/,,,確認済み
tk073,伊豆大島椿油 高田,Oshima Camellia Oil,東京,関東,化粧品,伊豆大島の椿油,Oshima Island camellia oil,https://www.tsubaki-abura.com/,,,
tk074,江戸木目込人形,Edo Kimekomi Doll,東京,関東,伝統工芸,江戸木目込人形工房,Edo kimekomi doll atelier,http://www.edokimekomi.com/,,,
tk075,江戸刺繍 高橋,Takahashi Edo Embroidery,東京,関東,アパレル・繊維,江戸刺繍の伝統工芸士,Edo embroidery master,,,,
tk076,江戸風鈴 篠原まるよし風鈴,Shinohara Edo Furin,東京,関東,硝子・陶磁器,江戸風鈴の工房,Edo wind chime atelier,https://www.edofurin.com/,,,確認済み
tk080,江戸銀器 上田銀器,Ueda Ginki,東京,関東,伝統工芸,江戸銀器の老舗,Heritage Edo silverware,https://www.ueda-silver.co.jp/,,,
kn001,鎌倉彫 慶 (博古堂),Hakkodo Kamakurabori,神奈川,関東,木工・家具,鎌倉彫の老舗工房,Heritage Kamakura-bori carving,https://www.hakkodo.jp/,,,確認済み
kn002,鎌倉彫 伝統工芸協同組合,Kamakurabori Coop,神奈川,関東,木工・家具,鎌倉彫の協同組合,Kamakura-bori cooperative,https://www.kamakurabori-kougeikan.jp/,,,
kn003,豊島屋 (鳩サブレー),Toshimaya Hatosable,神奈川,関東,食品・調味料,鎌倉鳩サブレーの老舗,Heritage Kamakura Hato Sable,https://www.hato.co.jp/,,,確認済み
kn004,鎌倉紅谷,Kamakura Beniya,神奈川,関東,食品・調味料,クルミッ子の鎌倉菓子店,Kamakura Kurumicco confectioner,https://www.beniya-ajisai.co.jp/,,,確認済み
kn005,横浜中華街 江戸清,Edosei Chuka-gai,神奈川,関東,食品・調味料,横浜中華街の老舗,Yokohama Chinatown heritage,https://edosei.co.jp/,,,
kn006,崎陽軒,Kiyoken,神奈川,関東,食品・調味料,横浜シウマイの老舗,Yokohama heritage shumai,https://kiyoken.com/,,,確認済み
kn008,小田原蒲鉾 鈴廣,Suzuhiro Kamaboko,神奈川,関東,食品・調味料,小田原蒲鉾の老舗,Heritage Odawara kamaboko,https://www.kamaboko.com/,,,確認済み
kn009,籠淸 蒲鉾,Kagosei Kamaboko,神奈川,関東,食品・調味料,小田原の老舗蒲鉾,Odawara heritage kamaboko,https://www.kagosei.co.jp/,,,確認済み
kn011,井上蒲鉾店,Inoue Kamaboko,神奈川,関東,食品・調味料,小田原の蒲鉾,Odawara kamaboko,,,,
kn012,箱根寄木細工 露木木工所,Tsuyuki Yosegi,神奈川,関東,木工・家具,箱根寄木細工の伝統工房,Hakone yosegi marquetry atelier,https://www.yoseki.com/,,,確認済み
kn013,箱根寄木細工 本間木工所,Honma Yosegi,神奈川,関東,木工・家具,箱根寄木細工の老舗,Heritage Hakone yosegi,https://www.yoseki-museum.com/,,,
kn014,小田原漆器 石川漆器,Ishikawa Odawara Lacquer,神奈川,関東,伝統工芸,小田原漆器の伝統工房,Odawara lacquer atelier,https://ishikawa-shikki.com/,,,
kn027,瀬戸酒造店,Seto Sake Brewery,神奈川,関東,酒造,開成町の地酒蔵,Kaisei-machi local sake,https://setosyuzou.com/,,,確認済み
kn028,川西屋酒造店,Kawanishiya Brewery,神奈川,関東,酒造,足柄の老舗酒蔵,Ashigara heritage brewer,https://www.kawanishiya.com/,,,確認済み
kn029,井上酒造,Inoue Brewery,神奈川,関東,酒造,小田原の地酒蔵,Odawara local brewer,,,,
ng001,玉川堂,Gyokusendo,新潟,中部,刃物・金物,燕の鎚起銅器・200年の老舗,200-year tsuiki copperware atelier (Tsubame),https://www.gyokusendo.com/,,,確認済み
ng003,藤次郎 (TOJIRO),Tojiro,新潟,中部,刃物・金物,燕三条の包丁メーカー,Tsubame-Sanjo kitchen knives,https://tojiro.net/,,,確認済み
ng004,タダフサ,Tadafusa,新潟,中部,刃物・金物,三条の包丁メーカー,Sanjo knife maker,https://www.tadafusa.com/,,,確認済み
ng006,スノーピーク,Snow Peak,新潟,中部,その他工業製品,三条のアウトドアギア,Sanjo outdoor gear,https://www.snowpeak.co.jp/,,,確認済み
ng007,マルナオ,Marunao,新潟,中部,木工・家具,三条の高級木製箸・道具,Sanjo premium wooden chopsticks,https://www.marunao.com/,,,確認済み
ng008,庖丁工房タダフサ,Tadafusa Houchou,新潟,中部,刃物・金物,三条の伝統包丁,Sanjo traditional knives,https://www.tadafusa.com/,,,確認済み
ng009,佐藤金属興業 (SALUS),Sato Metal (SALUS),新潟,中部,刃物・金物,燕の洋食器・キッチン雑貨,Tsubame flatware & kitchen tools,https://salus.co.jp/,,,
ng012,和平フレイズ,Wahei Freiz,新潟,中部,刃物・金物,燕三条の鍋・調理器具,Tsubame-Sanjo cookware,https://wahei.co.jp/,,,確認済み
ng014,日野浦刃物工房,Hinoura Hamono,新潟,中部,刃物・金物,三条の伝統鍛冶,Sanjo traditional blacksmith,https://hinoura-knife.com/,,,確認済み
ng016,久保田酒造 (久保田),Asahi Shuzo (Kubota),新潟,中部,酒造,朝日酒造・久保田ブランド,Brewer of Kubota sake,https://www.asahi-shuzo.co.jp/,,,確認済み
ng017,八海醸造,Hakkaisan,新潟,中部,酒造,南魚沼の八海山蔵元,Minamiuonuma brewer of Hakkaisan,https://www.hakkaisan.com/,,,確認済み
ng018,白瀧酒造,Shirataki,新潟,中部,酒造,湯沢の上善如水蔵元,Yuzawa brewer of Jozen Mizunogotoshi,https://www.jozen.co.jp/,,,確認済み
ng019,宮尾酒造,Miyao Brewery (Shimeharitsuru),新潟,中部,酒造,村上のしめ張り鶴,Murakami brewer of Shimeharitsuru,https://www.imayotsukasa.co.jp/,,,確認済み
ng020,今代司酒造,Imayotsukasa,新潟,中部,酒造,新潟市の老舗酒蔵,Niigata City heritage brewer,https://imayotsukasa.co.jp/,,,確認済み
ng021,高千代酒造,Takachiyo,新潟,中部,酒造,南魚沼の地酒蔵,Minamiuonuma local brewer,http://www.takachiyo.co.jp/,,,確認済み
ng022,魚沼醸造株式会社,Uonuma Brewery,新潟,中部,酒造,魚沼の地酒,Uonuma local sake,,,,
ng026,小千谷織物同業協同組合,Ojiya Chijimi,新潟,中部,アパレル・繊維,小千谷縮の伝統織物,Ojiya chijimi crepe weaving,,,,
ng028,村上堆朱,Murakami Tsuishu,新潟,中部,伝統工芸,村上堆朱漆器,Murakami tsuishu lacquer,,,,
ng029,加茂桐箪笥,Kamo Paulownia Chest,新潟,中部,木工・家具,加茂の桐箪笥,Kamo paulownia chest,,,,
ng031,亀田縞織物,Kameda Jima,新潟,中部,アパレル・繊維,亀田縞の伝統織物,Kameda striped textile,https://kamedajima.com/,,,
ng032,新潟漆器,Niigata Shikki,新潟,中部,伝統工芸,新潟の漆器メーカー,Niigata lacquerware,http://niigatasikki.jp/,,,
ng033,金属研磨 磨き屋シンジケート,Migakiya Syndicate,新潟,中部,刃物・金物,燕の金属研磨職人集団,Tsubame metal polishing guild,https://www.migaki-ya.com/,,,確認済み
ng038,カミテ精工,Kamite Seiko,新潟,中部,電子部品,燕三条の精密板金,Tsubame-Sanjo precision sheet metal,https://www.kamite.co.jp/,,,確認済み
ng041,佐渡乳業,Sado Dairy,新潟,中部,食品・調味料,佐渡の乳製品,Sado dairy products,https://www.sado-milk.co.jp/,,,確認済み
ng042,新潟麦酒 (NIIGATA BEER),Niigata Beer,新潟,中部,酒造,新潟のクラフトビール,Niigata craft beer,https://niigatabeer.jp/,,,
ng043,スワダ刃物,Suwada Blade Co.,新潟,中部,刃物・金物,三条の精密刃物,Sanjo precision blades,https://www.suwada.co.jp/,,,
ng044,津南醸造,Tsunan Brewery,新潟,中部,酒造,津南の地酒蔵,Tsunan local sake brewer,https://tsunan-sake.com/,,,確認済み
ng045,市島酒造,Ichishima Brewery,新潟,中部,酒造,新発田の老舗酒蔵,Shibata heritage sake brewer,https://www.ichishima.jp/,,,確認済み
ng046,北前そば高田屋,Takadaya Hegisoba,新潟,中部,食品・調味料,魚沼のへぎそば,Uonuma heg-isoba,,,,
ng047,越後製菓,Echigo Seika,新潟,中部,食品・調味料,長岡の餅・米菓,Nagaoka mochi & rice crackers,https://www.echigoseika.co.jp/,,,確認済み
ng049,新潟漆器組合,Niigata Lacquer Coop,新潟,中部,伝統工芸,県内漆器組合,Niigata lacquer cooperative,,,,
ty001,高岡銅器 老子製作所,Oigo Seisakusho,富山,中部,伝統工芸,高岡銅器の梵鐘・鋳物,Takaoka bronze bell foundry,https://www.oigo.jp/,,,確認済み
ty002,能作 (高岡銅器),Nousaku,富山,中部,伝統工芸,高岡の錫器・銅器,Takaoka tin & copper ware,https://www.nousaku.co.jp/,,,確認済み
ty003,四津川製作所,Yotsugawa Seisakusho,富山,中部,伝統工芸,高岡銅器の老舗,Heritage Takaoka bronze,https://yotsukawa.com/,,,確認済み
ty004,モメンタムファクトリー Orii,Momentum Factory Orii,富山,中部,伝統工芸,高岡の銅着色加工,Takaoka copper coloring,https://mf-orii.co.jp/,,,確認済み
ty005,シマタニ昇龍工房,Shimatani Syouryu,富山,中部,伝統工芸,高岡の鈴・おりん,Takaoka singing bowls & orin,https://syouryu.shimatani.co.jp/,,,確認済み
ty006,廣貫堂,Kokando,富山,中部,サプリ・健康食品,富山の置き薬・配置薬の老舗,Heritage Toyama traveling medicine,https://www.koukandou.co.jp/,,,確認済み
ty007,池田屋安兵衛商店,Ikedaya Yasubei,富山,中部,サプリ・健康食品,富山の伝統和漢薬,Toyama traditional Kampo medicine,https://www.hangontan.co.jp/,,,確認済み
ty009,立山酒造,Tateyama Brewery,富山,中部,酒造,立山ブランドの蔵元,Brewer of Tateyama sake,https://www.tateyama.jp/,,,確認済み
ty010,桝田酒造店,Masuda Brewery (Masuizumi),富山,中部,酒造,富山市の満寿泉蔵元,Toyama brewer of Masuizumi,https://www.masuizumi.co.jp/,,,確認済み
ty011,勝駒酒造,Shoukoma,富山,中部,酒造,高岡の小規模蔵元,Takaoka small brewery,https://www.kachikoma.com/,,,確認済み
ty012,皇国晴酒造 (幻の瀧),Mikuni-bare Brewery,富山,中部,酒造,黒部の名水蔵元,Kurobe spring-water brewery,https://www.mabotaru.co.jp/,,,確認済み
ty013,昆布の四十物昆布,Aimono Konbu,富山,中部,食品・調味料,富山の昆布加工老舗,Toyama kelp processor,https://aimono-konbu.com/,,,確認済み
ty014,梅かま,Umekama,富山,中部,食品・調味料,富山の細工蒲鉾,Toyama decorative kamaboko,https://umekama.co.jp/,,,確認済み
ty015,鱒寿司 源,Minamoto Masuzushi,富山,中部,食品・調味料,富山の鱒寿司老舗,Heritage Toyama masuzushi,https://www.minamoto.co.jp/,,,確認済み
ty016,井波彫刻,Inami Wood Carving,富山,中部,木工・家具,井波の伝統木彫,Inami traditional wood carving,https://www.inamichoukoku.jp/,,,確認済み
ty017,庄川挽物木地,Shogawa Hikimono,富山,中部,木工・家具,庄川の挽物・木工,Shogawa lathed woodwork,,,,
ty018,五箇山和紙,Gokayama Washi,富山,中部,和紙・紙製品,五箇山の手すき和紙,Gokayama handmade washi,https://www.gokayama-washi.jp/,,,確認済み
ty020,富山ガラス工房,Toyama Glass Studio,富山,中部,硝子・陶磁器,富山のアートグラス,Toyama art glass studio,https://toyama-garasukobo.jp/,,,確認済み
is001,箔一,Hakuichi,石川,中部,伝統工芸,金沢金箔の最大手中小,Major Kanazawa gold leaf SME,https://www.hakuichi.co.jp/,,,確認済み
is002,今井金箔,Imai Kinpaku,石川,中部,伝統工芸,金沢金箔の老舗,Heritage Kanazawa gold leaf,https://www.kinpaku.co.jp/,,,確認済み
is004,九谷焼 鏑木商舗,Kaburaki Kutani,石川,中部,硝子・陶磁器,金沢の九谷焼老舗,Kanazawa heritage Kutani-yaki,https://www.kaburaki.jp/,,,確認済み
is005,九谷青窯,Kutani Seiyo,石川,中部,硝子・陶磁器,能美の九谷焼窯元,Nomi Kutani-yaki kiln,https://kutaniseiyou.co.jp/,,,確認済み
is006,上出長右衛門窯,Kamide Choemon Kiln,石川,中部,硝子・陶磁器,能美の九谷焼名窯,Famous Nomi Kutani kiln,https://choemon.com/,,,確認済み
is007,金沢箔工芸 銀座箔座,Hakuza Kanazawa,石川,中部,伝統工芸,金沢金箔ライフスタイル,Kanazawa gold-leaf lifestyle,https://hakuza.co.jp/,,,確認済み
is008,輪島キリモト,Wajima Kirimoto,石川,中部,伝統工芸,輪島塗の現代工房,Modern Wajima lacquer atelier,https://www.kirimoto.net/,,,確認済み
is009,輪島塗 桐本,Kirimoto Wajima,石川,中部,伝統工芸,輪島塗の伝統工房,Traditional Wajima lacquer,http://kirimoto.net/,,,
is010,輪島塗 田谷漆器店,Taya Wajima Lacquer,石川,中部,伝統工芸,輪島塗の老舗,Heritage Wajima lacquer,https://www.tayashikkiten.co.jp/,,,確認済み
is011,加賀友禅 毎田染画工芸,Maida Senga Kaga Yuzen,石川,中部,アパレル・繊維,加賀友禅の伝統工房,Kaga yuzen dye atelier,http://www.maida-yuzen.com/,,,
is014,福光屋,Fukumitsuya,石川,中部,酒造,金沢の純米酒蔵,Kanazawa all-junmai sake brewer,https://www.fukumitsuya.co.jp/,,,確認済み
is015,農口尚彦研究所,Noguchi Naohiko Sake Inst.,石川,中部,酒造,能登の名杜氏が率いる蔵,Brewery led by master toji Noguchi,https://noguchi-naohiko.co.jp/,,,確認済み
is016,宗玄酒造,Sogen Brewery,石川,中部,酒造,珠洲の老舗酒蔵,Suzu heritage sake brewer,https://www.sogen-shuzou.com/,,,確認済み
is017,加賀鳶 (福光屋),Kagatobi,石川,中部,酒造,金沢の純米酒ブランド,Kanazawa premium junmai brand,https://www.fukumitsuya.co.jp/,,,
is019,金沢茶屋街 中田屋,Nakataya Kintsuba,石川,中部,食品・調味料,金沢のきんつば老舗,Heritage Kanazawa kintsuba,https://kintuba.co.jp/,,,確認済み
is020,加賀棒茶 丸八製茶場,Maruhachi Seichaba,石川,中部,お茶,加賀棒茶の老舗,Heritage Kaga bocha (twig tea),https://www.kagaboucha.co.jp/,,,確認済み
is021,小堀酒造店,Kobori Brewery,石川,中部,酒造,白山の老舗酒蔵,Hakusan heritage brewer,https://hakusan-syuzo.com/,,,確認済み
is024,能登塩工房,Noto Salt Atelier,石川,中部,食品・調味料,能登の揚浜式塩田,Noto agehama-style salt,https://www.sionosato.com/,,,
is025,九谷焼 錦山窯,Kinzan Kutani Kiln,石川,中部,硝子・陶磁器,九谷焼の伝統窯元,Heritage Kutani kiln,https://kinzangama.com/,,,
fi001,鯖江メガネ工房 田中眼鏡,Tanaka Megane Sabae,福井,中部,その他工業製品,鯖江の眼鏡フレーム,Sabae eyewear frame maker,https://tanakagannkyou.com/,,,
fi002,金子眼鏡 鯖江,Kaneko Megane Sabae,福井,中部,その他工業製品,鯖江の高級眼鏡,Sabae premium eyewear,https://www.kaneko-optical.co.jp/,,,確認済み
fi003,BJクラシック (鯖江),BJ Classic Sabae,福井,中部,その他工業製品,鯖江の手作り眼鏡,Sabae handmade eyewear,https://www.bjclassic.jp/,,,確認済み
fi004,ボストンクラブ,Boston Club,福井,中部,その他工業製品,鯖江の眼鏡デザイン,Sabae eyewear design,https://www.bostonclub.co.jp/,,,確認済み
fi005,白山眼鏡店 (鯖江),Hakusan Megane,福井,中部,その他工業製品,鯖江の老舗眼鏡,Heritage Sabae eyewear,https://hakusan-megane.co.jp/,,,確認済み
fi006,フォーナインズ (鯖江),999.9 Four Nines,福井,中部,その他工業製品,鯖江の高機能眼鏡,Sabae high-function eyewear,https://www.fournines.co.jp/,,,確認済み
fi007,越前漆器 漆琳堂,Shitsurindo Echizen Lacquer,福井,中部,伝統工芸,越前漆器の老舗,Heritage Echizen lacquer,https://www.shitsurindo.com/,,,確認済み
fi008,越前漆器 関坂漆器,Sekisaka Lacquer,福井,中部,伝統工芸,越前漆器の老舗,Heritage Echizen lacquer,https://sekisaka.co.jp/home.php,,,
fi009,越前打刃物 龍泉刃物,Ryusen Hamono,福井,中部,刃物・金物,越前打刃物の高級包丁,Echizen forged premium knives,https://ryusen-hamono.com/,,,確認済み
fi010,高村刃物製作所,Takamura Hamono,福井,中部,刃物・金物,越前打刃物の名工,Echizen master bladesmith,https://www.knife-takamura.com/,,,確認済み
fi011,越前和紙 岩野市兵衛,Iwano Ichibei Washi,福井,中部,和紙・紙製品,越前和紙の人間国宝,Echizen washi Living National Treasure,https://www.iwano-ichibei.jp/,,,確認済み
fi012,杉原商店 (越前和紙),Sugihara Shoten Washi,福井,中部,和紙・紙製品,越前和紙の老舗,Heritage Echizen washi,https://www.washiya.com/,,,確認済み
fi014,南部酒造場,Nanbu Sake Brewery,福井,中部,酒造,花垣の蔵元,Brewer of Hanagaki,https://www.hanagaki.co.jp/,,,確認済み
fi015,黒龍酒造,Kokuryu Brewery,福井,中部,酒造,福井の高級銘酒,Fukui premium sake brewer,https://www.kokuryu.co.jp/,,,確認済み
fi016,加藤吉平商店 (梵),Born Brewery (Kato Kichibei),福井,中部,酒造,鯖江の梵ブランド,Sabae brewer of BORN sake,https://www.born.co.jp/,,,確認済み
fi018,小浜塗箸 マツ勘,Matsukan Wakasa Hashi,福井,中部,木工・家具,若狭塗箸の老舗,Heritage Wakasa lacquer chopsticks,https://www.matsukan.com/,,,確認済み
fi019,小浜伝統箸 兵左衛門,Hyozaemon,福井,中部,木工・家具,若狭の塗箸メーカー,Wakasa chopstick maker,https://www.hyozaemon.co.jp/,,,確認済み
ym001,甲府ジュエリー協同組合,Kofu Jewelry Coop,山梨,中部,伝統工芸,甲府ジュエリーの製造拠点,Kofu jewelry production hub,https://yja.or.jp/,,,
ym004,勝沼醸造,Katsunuma Brewery,山梨,中部,酒造,甲州ワインの中堅,Koshu wine producer,https://www.katsunuma-winery.com/,,,確認済み
ym005,中央葡萄酒 (グレイス),Grace Wine,山梨,中部,酒造,勝沼の高級ワイナリー,Katsunuma premium winery,https://www.grace-wine.com/,,,確認済み
ym006,ルミエール (山梨ワイン),Lumiere Winery,山梨,中部,酒造,勝沼の老舗ワイナリー,Heritage Katsunuma winery,https://www.lumiere.jp/,,,確認済み
ym007,丸藤葡萄酒工業 (ルバイヤート),Rubaiyat Marufuji,山梨,中部,酒造,勝沼の伝統ワイナリー,Heritage Katsunuma winery,https://www.rubaiyat.jp/,,,確認済み
ym008,山梨銘醸 (七賢),Shichiken Brewery,山梨,中部,酒造,白州の老舗酒蔵,Hakushu heritage sake brewer,https://www.sake-shichiken.co.jp/,,,確認済み
ym009,武の井酒造,Takenoi Brewery,山梨,中部,酒造,北杜の地酒蔵,Hokuto local sake brewer,https://www.takenoi.jp/,,,確認済み
ym010,桔梗屋 (信玄餅),Kikyoya Shingen Mochi,山梨,中部,食品・調味料,信玄餅の老舗,Heritage Shingen mochi maker,https://www.kikyouya.co.jp/,,,確認済み
ym011,金精軒 信玄餅,Kinseiken Shingen Mochi,山梨,中部,食品・調味料,白州の信玄餅老舗,Hakushu heritage Shingen mochi,https://www.kinseiken.co.jp/,,,確認済み
ym012,小作 (ほうとう),Kosaku Houtou,山梨,中部,食品・調味料,山梨ほうとうの老舗,Heritage Yamanashi houtou,https://www.kosaku.co.jp/,,,
ym013,郡内織物協同組合,Gunnai Textile Coop,山梨,中部,アパレル・繊維,富士吉田の郡内織,Fujiyoshida gunnai weaving,https://fujiyoshida.yamanashi-tex.jp/,,,
ym014,テンジン (富士吉田織物),Tenjin Fujiyoshida,山梨,中部,アパレル・繊維,富士吉田の高密度織物,Fujiyoshida high-density textile,https://www.tenjin-factory.com/,,,
nn002,丸高蔵 (諏訪味噌),Marutaka Suwa Miso,長野,中部,食品・調味料,諏訪の老舗味噌蔵,Suwa heritage miso brewer,https://marutaka-suwa.com/,,,確認済み
nn004,信州蕎麦 おびなた,Obinata Shinshu Soba,長野,中部,食品・調味料,信州そば老舗,Heritage Shinshu soba maker,https://www.obinata.co.jp/,,,確認済み
nn005,渡辺製麺 信州そば,Watanabe Seimen,長野,中部,食品・調味料,信州そばの製麺,Shinshu soba noodle maker,,,,
nn006,信州ハム,Shinshu Ham,長野,中部,食品・調味料,信州の老舗ハム,Heritage Shinshu ham,https://www.shinshuham.co.jp/,,,確認済み
nn007,白馬錦 薄井商店,Usui Shoten (Hakubanishiki),長野,中部,酒造,白馬の地酒蔵,Hakuba local sake brewer,https://www.hakubanishiki.com/,,,確認済み
nn008,宮坂醸造 (真澄),Miyasaka (Masumi),長野,中部,酒造,諏訪の七号酵母発祥蔵,"Suwa, origin of No.7 yeast",https://www.masumi.co.jp/,,,確認済み
nn009,舞姫酒造,Maihime Brewery,長野,中部,酒造,諏訪の地酒蔵,Suwa local sake brewer,https://maihime.co.jp/,,,確認済み
nn010,小布施ワイナリー,Obuse Winery,長野,中部,酒造,小布施のワイン蔵,Obuse winery,https://www.obusewinery.com/,,,確認済み
